iter	Passed	Remaining
0	3	3823
1	8	3999
2	10	3540
3	16	4000
4	19	3831
5	21	3509
6	22	3240
7	24	3039
8	26	2930
9	30	3032
10	33	2977
11	34	2876
12	36	2751
13	37	2635
14	38	2558
15	40	2474
16	41	2406
17	45	2478
18	48	2497
19	50	2485
20	52	2439
21	53	2381
22	54	2320
23	55	2262
24	56	2212
25	59	2231
26	61	2220
27	62	2183
28	64	2149
29	65	2113
30	66	2075
31	67	2039
32	68	2006
33	69	1974
34	70	1944
35	71	1915
36	74	1935
37	75	1923
38	77	1901
39	78	1880
40	79	1859
41	80	1839
42	81	1821
43	82	1799
44	83	1779
45	84	1759
46	85	1740
47	86	1722
48	89	1738
49	91	1732
50	92	1719
51	93	1704
52	94	1688
53	95	1673
54	96	1658
55	97	1643
56	98	1628
57	99	1614
58	100	1601
59	101	1589
60	102	1578
61	104	1588
62	106	1579
63	107	1570
64	108	1565
65	110	1557
66	111	1546
67	112	1535
68	112	1524
69	113	1514
70	115	1504
71	115	1494
72	116	1485
73	118	1487
74	120	1489
75	122	1484
76	123	1477
77	132	1564
78	136	1589
79	138	1588
80	139	1584
81	140	1575
82	141	1567
83	142	1558
84	143	1549
85	144	1540
86	145	1532
87	147	1523
88	148	1514
89	150	1524
90	152	1521
91	153	1514
92	154	1507
93	155	1500
94	156	1492
95	157	1484
96	158	1477
97	159	1470
98	160	1462
99	161	1455
100	162	1448
101	163	1441
102	166	1447
103	167	1444
104	168	1438
105	169	1433
106	171	1427
107	172	1421
108	173	1414
109	174	1407
110	174	1401
111	175	1394
112	176	1388
113	177	1382
114	178	1376
115	181	1381
116	182	1378
117	184	1376
118	185	1371
119	186	1366
120	187	1360
121	188	1354
122	189	1349
123	190	1343
124	191	1338
125	192	1333
126	193	1327
127	194	1322
128	196	1326
129	197	1323
130	198	1319
131	200	1316
132	201	1315
133	202	1311
134	203	1306
135	204	1302
136	205	1297
137	206	1292
138	207	1287
139	208	1283
140	210	1285
141	212	1283
142	213	1280
143	215	1281
144	216	1277
145	217	1274
146	219	1270
147	220	1267
148	222	1269
149	223	1266
150	224	1264
151	226	1266
152	228	1263
153	229	1261
154	230	1258
155	232	1255
156	233	1251
157	234	1247
158	235	1245
159	236	1241
160	237	1238
161	238	1234
162	241	1241
163	242	1237
164	244	1235
165	245	1232
166	246	1228
167	247	1224
168	248	1221
169	249	1217
170	250	1214
171	251	1210
172	252	1207
173	253	1203
174	255	1203
175	256	1203
176	258	1200
177	259	1198
178	260	1195
179	261	1192
180	262	1189
181	264	1186
182	265	1183
183	266	1180
184	267	1176
185	268	1173
186	269	1171
187	271	1174
188	273	1171
189	275	1173
190	276	1170
191	277	1168
192	278	1165
193	280	1163
194	281	1161
195	282	1158
196	283	1155
197	286	1158
198	288	1159
199	289	1157
200	290	1155
201	291	1153
202	292	1150
203	293	1147
204	294	1143
205	296	1140
206	296	1137
207	297	1134
208	299	1131
209	300	1132
210	302	1130
211	303	1127
212	304	1125
213	305	1123
214	306	1120
215	307	1117
216	308	1114
217	310	1112
218	311	1109
219	312	1106
220	313	1103
221	314	1101
222	316	1101
223	317	1099
224	318	1097
225	319	1095
226	320	1092
227	321	1089
228	322	1086
229	323	1083
230	324	1081
231	325	1078
232	326	1075
233	327	1072
234	328	1070
235	331	1071
236	332	1070
237	333	1067
238	334	1065
239	335	1063
240	336	1060
241	337	1057
242	338	1055
243	339	1052
244	340	1050
245	342	1050
246	345	1052
247	348	1055
248	349	1054
249	351	1053
250	366	1094
251	369	1096
252	372	1099
253	375	1103
254	377	1102
255	380	1105
256	382	1106
257	384	1105
258	385	1103
259	387	1101
260	388	1099
261	389	1097
262	390	1095
263	392	1093
264	393	1091
265	395	1091
266	396	1089
267	398	1087
268	399	1085
269	400	1082
270	401	1081
271	403	1080
272	405	1078
273	406	1076
274	407	1074
275	409	1074
276	410	1072
277	412	1070
278	413	1067
279	414	1066
280	415	1063
281	416	1061
282	417	1058
283	418	1056
284	419	1053
285	420	1050
286	422	1048
287	423	1047
288	424	1045
289	426	1043
290	427	1040
291	428	1038
292	429	1035
293	430	1032
294	431	1031
295	432	1028
296	433	1026
297	434	1023
298	435	1021
299	436	1018
300	437	1016
301	439	1015
302	440	1012
303	441	1010
304	442	1008
305	443	1005
306	444	1003
307	445	1000
308	446	998
309	447	996
310	449	995
311	450	993
312	451	990
313	452	988
314	453	986
315	455	985
316	456	984
317	457	981
318	458	979
319	459	977
320	460	974
321	461	972
322	462	969
323	463	967
324	464	965
325	465	962
326	466	960
327	467	958
328	468	956
329	470	955
330	471	953
331	472	951
332	474	949
333	475	947
334	476	945
335	477	943
336	478	941
337	479	939
338	480	937
339	481	935
340	482	933
341	484	932
342	485	930
343	486	928
344	488	926
345	489	924
346	490	922
347	491	920
348	492	918
349	493	917
350	494	915
351	496	913
352	497	911
353	498	909
354	499	907
355	500	905
356	501	903
357	502	901
358	503	899
359	504	897
360	505	895
361	506	893
362	507	890
363	508	888
364	509	886
365	510	885
366	511	883
367	513	881
368	514	879
369	515	878
370	516	876
371	517	874
372	518	872
373	519	870
374	520	867
375	521	865
376	522	863
377	523	862
378	525	860
379	526	858
380	527	856
381	528	854
382	529	853
383	530	851
384	531	849
385	532	847
386	533	845
387	534	843
388	535	841
389	536	839
390	537	837
391	538	835
392	539	833
393	540	831
394	541	829
395	542	827
396	543	825
397	544	823
398	545	821
399	546	819
400	547	817
401	548	816
402	549	814
403	550	812
404	551	810
405	552	808
406	553	806
407	554	804
408	555	802
409	556	800
410	557	798
411	558	797
412	560	795
413	561	794
414	562	792
415	563	791
416	565	789
417	566	788
418	574	796
419	575	794
420	576	792
421	577	790
422	578	788
423	579	787
424	580	785
425	581	783
426	582	781
427	583	779
428	584	777
429	585	776
430	587	775
431	589	775
432	591	774
433	592	772
434	593	770
435	594	768
436	595	767
437	596	765
438	597	763
439	598	761
440	599	759
441	600	758
442	601	756
443	602	755
444	604	753
445	605	752
446	606	750
447	607	748
448	608	746
449	609	745
450	610	743
451	611	741
452	613	740
453	614	738
454	615	736
455	616	735
456	617	733
457	619	732
458	620	731
459	622	730
460	623	728
461	624	727
462	625	725
463	626	723
464	627	722
465	628	720
466	629	718
467	630	716
468	631	715
469	633	714
470	634	712
471	635	710
472	636	709
473	637	707
474	638	706
475	640	704
476	641	702
477	642	701
478	643	699
479	644	697
480	645	696
481	646	694
